#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_73696_cov_32.301567:70593-73529|+ -            979 226                  -            969         0 1270.1  70.0   1   1         0         0 1270.0  70.0     1   968     1   975     1   976 0.99 NODE_1_length_73696_cov_32.301567_58 # 70593 # 73529 # 1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.304
NODE_2_length_68051_cov_18.212929:19200-21350|- -            717 226                  -            969       0.2    4.7  30.2   3   3      0.27        16   -1.6   7.3   233   348   337   454   334   460 0.50 NODE_2_length_68051_cov_18.212929_22 # 19200 # 21350 # -1 # ID=2_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/226at2085.hmm
# Target file:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/run_mycoplasmatales_odb12/hmmer_output/226at2085.out --cpu 1 /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/226at2085.hmm /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3
# Date:            Tue Oct 28 11:31:01 2025
# [ok]
